nl_text,code_snippet
create a list from a tuple of tuples,[str(item[0]) for item in x if item and item[0]]
converting a list of tuples into a dict in python,"{'a': [1, 2, 3], 'c': [1], 'b': [1, 2]}"
swap keys with values in a dictionary `a`,"res = dict((v, k) for k, v in a.items())"
possible to generate data with while in list comprehension,print([i for i in range(5)])
select rows from a dataframe based on values in a column in pandas,"df.loc[df.index.isin(['one', 'two'])]"
replace '-' in pandas dataframe `df` with `np.nan`,"df.replace('-', np.nan)"
how to decode an invalid json string in python,"kludged = re.sub('(?i)([a-z_].*?):', '""\\1"":', string)"
how to compare elements in a list of lists and compare keys in a list of lists in python?,len(set(a))
summing elements in a list,sum(your_list)
how to write a lambda function that is conditional on two variables (columns) in python,"df['dummyVar '] = df['x'].where((df['x'] > 100) & (df['y'] < 50), df['y'])"
combining two pandas series with changing logic,"x['result'].fillna(False, inplace=True)"
how can i add a comment to a yaml file in python,f.write('# Data for Class A\n')
list of zeros in python,[0] * 4
how to gracefully fallback to `nan` value while reading integers from a csv with pandas?,"df = pd.read_csv('my.csv', na_values=['n/a'])"
convert datetime.date `dt` to utc timestamp,"timestamp = (dt - datetime(1970, 1, 1)).total_seconds()"
python requests encoding post data,urllib.parse.unquote_plus('Andr%C3%A9+T%C3%A9chin%C3%A9').decode('utf-8')
how can i get the list of names used in a formatting string?,get_format_vars('hello %(foo)s  there %(bar)s')
how can i remove the fragment identifier from a url?,urlparse.urldefrag('http://www.address.com/something#something')
how to filter a numpy array with another array's values,a[f]
"find rows of 2d array in 3d numpy array 'arr' if the row has value '[[0, 3], [3, 0]]'","np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))"
concatenate items of list `l` with a space ' ',"print(' '.join(map(str, l)))"
"building full path filename in python,","os.path.join(dir_name, '.'.join((base_filename, filename_suffix)))"
how can a python list be sliced such that a column is moved to being a separate element column?,"[item for sublist in [[i[1:], [i[0]]] for i in l] for item in sublist]"
how to shift a string to right in python?,""""""" """""".join(l[-1:] + l[:-1])"
get the number of all keys in a dictionary of dictionaries in python,"n = sum([(len(v) + 1) for k, v in list(dict_test.items())])"
counting the number of true booleans in a python list,"sum([True, True, False, False, False, True])"
set the value in column 'b' to nan if the corresponding value in column 'a' is equal to 0 in pandas dataframe `df`,"df.ix[df.A == 0, 'B'] = np.nan"
python parse comma-separated number into int,"int(a.replace(',', ''))"
how can i compare two lists in python and return matches,"[i for i, j in zip(a, b) if i == j]"
what is numpy way of arranging numpy 2d array based on 2d numpy array of index?,"x[np.arange(x.shape[0])[..., (None)], y]"
python logging: use milliseconds in time format,"logging.Formatter(fmt='%(asctime)s.%(msecs)03d', datefmt='%Y-%m-%d,%H:%M:%S')"
python pandas: apply a function with arguments to a series. update,"a['x'].apply(lambda x, y: x + y, args=(100,))"
convert unicode string to byte string,'\xd0\xbc\xd0\xb0\xd1\x80\xd0\xba\xd0\xb0'.encode('latin-1')
how to efficiently convert matlab engine arrays to numpy ndarray?,np.array(x._data).reshape(x.size[::-1]).T
customize beautifulsoup's prettify by tag,print(soup.prettify())
collapsing whitespace in a string,"re.sub('[_\\W]+', ' ', s).upper()"
"python: dictionary to string, custom format?",""""""", """""".join('='.join((str(k), str(v))) for k, v in list(mydict.items()))"
split string 'x+13.5*10x-4e1' into tokens,"print([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])"
python count items in dict value that is a list,count = sum(len(v) for v in d.values())
how do convert a pandas/dataframe to xml?,df.to_xml('foo.xml')
how do i release memory used by a pandas dataframe?,df.dtypes
how to find the index of a value in 2d array in python?,zip(*np.where(a == 1))
python/matplotlib - is there a way to make a discontinuous axis?,ax.set_xscale('custom')
find cells in dataframe where value is between x and y,"df.stack().between(2, 10, inclusive=False).unstack()"
"python, format string","""""""{0} %s {1}"""""".format('foo', 'bar')"
getting a dictionary value where part of the key is in a string,"{i: functools.reduce(dict.__getitem__, keys, d[i]) for i in d}"
single line nested for loops,"[50.1, 50.2, 50.3, 50.4, 60.1, 60.2, 60.3, 60.4, 70.1, 70.2, 70.3, 70.4]"
how to write binary data in stdout in python 3?,sys.stdout.buffer.write('some binary data')
python split string,"s.split(':', 1)[1]"
how to tell if string starts with a number?,"strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))"
how do i get the different parts of a flask request's url?,request.url
python string double splitting?,"[list(i.group(1, 2)) for i in re.finditer('(\\d{2})(020511|00)', theStr)]"
sort a multidimensional list by a variable number of keys,"a.sort(key=operator.itemgetter(2, 3))"
cross product of a vector in numpy,"np.cross(a, b, axis=0)"
python string formatting,"'%3d\t%s' % (42, 'the answer to ...')"
how to give a pandas/matplotlib bar graph custom colors,"df.plot(kind='bar', stacked=True, colormap='Paired')"
how to run a python script from idle interactive shell?,"subprocess.call(['python', 'helloworld.py'])"
python: confusions with urljoin,"urljoin('http://some/more/', '/thing')"
passing a function with two arguments to filter() in python,basetwo('10010')
can i export a python pandas dataframe to ms sql?,conn.commit()
how to count distinct values in a column of a pandas group by object?,"df.groupby(['col1', 'col2'])['col3'].nunique().reset_index()"
using name of list as a string to access list,"x = {'0': [], '2': [], '16': []}"
reverse a list `l`,L.reverse()
convert binary string '01010101111' to integer,"int('01010101111', 2)"
how to shorten this if and elif code in python,('NORTH ' if b > 0 else 'SOUTH ') + ('EAST' if a > 0 else 'WEST')
how to use .get() in a nested dict?,"b.get('x', {}).get('y', {}).get('z')"
python : how to convert string literal to raw string literal?,"s = s.replace('\\', '\\\\')"
get the number of values in list `j` that is greater than `i`,"j = np.array(j)
sum((j > i))"
sort list `lst` in descending order based on the second item of each tuple in it,"lst.sort(key=lambda x: x[2], reverse=True)"
changing image hue with python pil,new_img.save('tweeter_green.png')
how do i add two lists' elements into one list?,"list3 = [(a + b) for a, b in zip(list1, list2)]"
append a tuple of elements from list `a` with indexes '[0][0] [0][2]' to list `b`,"b.append((a[0][0], a[0][2]))"
how to order a list of lists by the first value,l1.sort(key=lambda x: int(x[0]))
"split string 'words, words, words.' using a regex '(\\w+)'","re.split('(\\W+)', 'Words, words, words.')"
convert numpy array to tuple,tuple([tuple(row) for row in myarray])
sum the values in each row of every two adjacent columns in dataframe `df`,"df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')"
python: check if an numpy array contains any element of another array,"np.any(np.in1d(a1, a2))"
remove nan from pandas series,s.dropna()
understanding list comprehension for flattening list of lists in python,[item for sublist in list_of_lists for item in sublist]
how to hide output of subprocess in python 2.7,"subprocess._check_call(['espeak', text], stdout=FNULL, stderr=FNULL)"
how to pass pointer to an array in python for a wrapped c++ function,"AAF(10, [4, 5.5, 10], [1, 1, 2], 3)"
how to use sadd with multiple elements in redis using python api?,"r.sadd('a', 1, 2, 3)"
case sensitive string replacement in python,"""""""Abc"""""".translate(maketrans('abcABC', 'defDEF'))"
how can i order a list of connections,"[4, 6, 5, 3, 7, 8], [1, 2]"
using beautifulsoup to search html for string,soup.body.findAll(text=re.compile('^Python$'))
split a string into a list of words and whitespace,"re.split('(\\W+)', s)"
concatenate row values for the same index in pandas,df.groupby('A')['expand'].apply(list)
is it possible to plot timelines with matplotlib?,ax.spines['right'].set_visible(False)
python/matplotlib - is there a way to make a discontinuous axis?,ax2.spines['left'].set_visible(False)
double iteration in list comprehension,[x for b in a for x in b]
how to make curvilinear plots in matplotlib,"plt.plot(line[0], line[1], linewidth=0.5, color='k')"
how to sort a scipy array with order attribute when it does not have the field names?,"np.argsort(y, order=('x', 'y'))"
convert decimal 8 to a list of its binary values,list('{0:0b}'.format(8))
python: how can i run python functions in parallel?,p.start()
get the 5th item of a generator,"next(itertools.islice(range(10), 5, 5 + 1))"
using python regular expression in django,"""""""^org/(?P<company_name>\\w+)/$"""""""
numpy object arrays,"print(numpy.array([X()], dtype=object))"
regex: correctly matching groups with negative lookback,"print(re.findall('[^/|(]+(?:\\([^)]*\\))*', re.sub('^qr/(.*)/i$', '\\1', str)))"
how to check if all values in the columns of a numpy matrix are the same?,"a == a[(0), :]"
vectorize over the rows of an array,"numpy.apply_along_axis(sum, 1, X)"
dot notation string manipulation,"re.sub('\\.[^.]+$', '', s)"
filter duplicate entries w.r.t. value in 'id' from a list of dictionaries 'l',"list(dict((x['id'], x) for x in L).values())"
python: updating a large dictionary using another large dictionary,b.update(d)
what is the best way to sort list with custom sorting parameters in python?,"sorted(li1, key=k)"
need help using xpath in elementtree,e = element.findall('Items/Item/ItemAttributes/ListPrice/Amount')
get biggest 3 values from each column of the pandas dataframe `data`,"data.apply(lambda x: sorted(x, 3))"
convert binary string '11111111' to integer,"int('11111111', 2)"
python import a module from a directory(package) one level up,sys.path.append('../..')
how do you specify the foreign key column value in sqlalchemy?,"users = relationship('User', backref='account')"
getting a list of all subdirectories in the current directory,[x[0] for x in os.walk(directory)]
python pandas write to sql with nan values,"df2 = df.astype(object).where(pd.notnull(df), None)"
how to use concatenate a fixed string and a variable in python,msg['Subject'] = 'Auto Hella Restart Report ' + sys.argv[1]
writing bits to a binary file,"f.write(struct.pack('i', int(bits[::-1], 2)))"
create a list containing a four elements long tuples of permutations of binary values,"itertools.product(list(range(2)), repeat=4)"
how to convert a date string to different format,"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%-m/%d/%y')"
how to close a tkinter window by pressing a button?,window.destroy()
make a auto scrolled window to the end of the list in gtk,"self.treeview.connect('size-allocate', self.treeview_changed)"
colored latex labels in plots,plt.xlabel('$x=\\frac{ \\color{red}{red text} }{ \\color{blue}{blue text} }$')
how can i split a single tuple into multiple using python?,d = {t[0]: t[1:] for t in l}
selenium webdriver - nosuchelementexceptions,driver.switch_to_frame('frameName')
run rsync from python,"subprocess.call(['ls', '-l'])"
django - how to create a file and save it to a model's filefield?,"self.license_file.save(new_name, new_contents)"
how to search help using python console,help('modules')
join float list into space-separated string in python,print(' '.join([str(i) for i in a]))
"extracting words from a string, removing punctuation and returning a list with separated words in python","[w for w in re.split('\\W', 'Hello world, my name is...James!') if w]"
sort a list of lists `l` by index 2 of the inner list,"sorted(L, key=itemgetter(2))"
extract data from html table using python,"r.sub('\\1_STATUS = ""\\2""\\n\\1_TIME = \\3', content)"
is there a pythonic way to do a contingency table in pandas?,print(df1['A'].unstack())
"decode a double url encoded string
'fireshot3%2b%25282%2529.png' to
'fireshot3+(2).png'",urllib.parse.unquote(urllib.parse.unquote('FireShot3%2B%25282%2529.png'))
how can i check a python unicode string to see that it *actually* is proper unicode?,""""""""""""".decode('utf8')"
convert a column of list in series `s` to dummies,pd.get_dummies(s.apply(pd.Series).stack()).sum(level=0)
find the key associated with the largest value in dictionary `x` whilst key is non-zero value,"max(k for k, v in x.items() if v != 0)"
python: how to create a file .txt and record information in it,file.close()
creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
how to display a pdf that has been downloaded in python,os.system('my_pdf.pdf')
accessing dictionary by key in django template,{{json.key1}}
how to make an axes occupy multiple subplots with pyplot (python),plt.show()
find all digits between a character in python,"print(re.findall('\\d+', re.findall('\xab([\\s\\S]*?)\xbb', text)[0]))"
replacing particular elements in a list,mylist = [('XXX' if v == 'abc' else v) for v in mylist]
get the age of directory (or file) `/tmp` in seconds.,print(os.path.getmtime('/tmp'))
removing the label from django's textarea widget,"comment = forms.CharField(label='', help_text='', widget=forms.Textarea())"
simple way to append a pandas series `a` and `b` with same index,"pd.concat([a, b], ignore_index=True)"
remove first directory from path '/first/second/third/fourth/fifth',os.path.join(*x.split(os.path.sep)[2:])
scientific notation colorbar in matplotlib,plt.show()
how to sort a python dictionary by value?,"sorted(list(a_dict.items()), key=lambda item: item[1][1])"
how to designate unreachable python code,"raise ValueError(""Unexpected gender; expected 'm' or 'f', got %s"" % gender)"
how to get desktop item count in python?,len(os.listdir('path/desktop'))
map two lists `keys` and `values` into a dictionary,"dict([(k, v) for k, v in zip(keys, values)])"
generate 6 random numbers between 1 and 50,"random.sample(range(1, 50), 6)"
check if multiple rows exist in another dataframe,"pd.merge(df1, df2, indicator=True, how='outer')"
python sum of ascii values of all characters in a string `string`,"sum(map(ord, string))"
python: find the absolute path of an imported module,os.path.abspath(math.__file__)
how to group pandas dataframe entries by date in a non-unique column,data.groupby(lambda x: data['date'][x].year)
case insensitive string comparison between `string1` and `string2`,(string1.lower() == string2.lower())
creating a pandas dataframe from a dictionary,pd.DataFrame([record_1])
"sort list `['14:10:01', '03:12:08']`","sorted(['14:10:01', '03:12:08'])"
finding range of a numpy array elements,"r = np.ptp(a, axis=1)"
how do i get rid of python tkinter root window?,root.destroy()
how to swap a group of column headings with their values in pandas,"pd.DataFrame([{val: key for key, val in list(d.items())} for d in df.to_dict('r')])"
get first element of each tuple in list `a`,[tup[0] for tup in A]
how to modify elements of iterables with iterators? i.e. how to get write-iterators in python?,"[[1, 2, 5], [3, 4, 5]]"
convert string to boolean from defined set of strings,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']"
how to add unicode character before a string? [python],print(type('{}'.format(word)))
how to do this join query in django,products = Product.objects.filter(categories__pk=1).select_related()
"combine two lists `[1, 2, 3, 4]` and `['a', 'b', 'c', 'd']` into a dictionary","dict(zip([1, 2, 3, 4], ['a', 'b', 'c', 'd']))"
how do i write to the console in google app engine?,logging.debug('hi')
sort pandas dataframe by date,df.sort_values(by='Date')
python program to read a matrix from a given file,"l = [map(int, line.split(',')) for line in f if line.strip() != '']"
slice pandas dataframe where column's value exists in another array,df[df.a.isin(keys)]
declare an array,my_list = []
add string `-` in `4th` position of a string `s`,s[:4] + '-' + s[4:]
separation of business logic and data access in django,User.objects.filter(active=True)
python regex to replace all windows newlines with spaces,"htmlspaced = re.sub('\\r\\n', ' ', html)"
how to drop duplicate from dataframe taking into account value of another column,"df.drop_duplicates('name', keep='last')"
filter model 'entry' where 'id' is not equal to 3 in django,Entry.objects.filter(~Q(id=3))
"python: tuples/dictionaries as keys, select, sort",fruits.sort(key=lambda x: x.name.lower())
resampling non-time-series data,df.groupby('rounded_length').mean().force
get only certain fields of related object in django,"Users.objects.filter(id=comment.user_id).values_list('name', 'email')"
how do i read an excel file into python using xlrd? can it read newer office formats?,"open('ComponentReport-DJI.xls', 'rb').read(200)"
how do i get user ip address in django?,get_client_ip(request)
writing utf-8 string to mysql with python,"cursor.execute('INSERT INTO mytable SET name = %s', (name,))"
find all anchors with a hyperlink that matches the pattern '^(?!(?:[a-za-z][a-za-z0-9+.-]*:|//))',"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))"
modify sys.path for python module `subdir`,"sys.path.append(os.path.join(os.path.dirname(__file__), 'subdir'))"
check if string contains a certain amount of words of another string,"['this', 'day', 'is']"
"how to make a python script which can logoff, shutdown, and restart a computer?","subprocess.call(['shutdown', '/r', '/t', '900'])"
union of dict objects in python,"dict({'a': 'y[a]'}, **{'a', 'x[a]'}) == {'a': 'x[a]'}"
i'm looking for a pythonic way to insert a space before capital letters,"re.sub('(?<=\\w)([A-Z])', ' \\1', 'WordWordWWWWWWWord')"
getting the opposite diagonal of a numpy array,np.diag(np.fliplr(array))
convert string to hex in python,"int('0x77', 16)"
is it possible to add a where clause with list comprehension?,"[(x, f(x)) for x in iterable if f(x)]"
how do i get the user agent with flask?,request.headers.get('User-Agent')
"remove characters ""!@#$"" from a string `line`","line = re.sub('[!@#$]', '', line)"
how do i load a file into the python console?,"exec(compile(open('file.py').read(), 'file.py', 'exec'))"
how can i place a table on a plot in matplotlib?,plt.show()
get time of execution of a block of code in python 2.7,time.sleep(1)
indirect inline in django admin,"admin.site.register(User, UserAdmin)"
parse and format the date from the github api in python,"date.strftime('%A %b %d, %Y at %H:%M GMT')"
"is it ok to raise a built-in exception, but with a different message, in python?",raise ValueError('some problem: %s' % value)
how do i get a selected string in from a tkinter text box?,self.text.pack()
format timedelta using string variable,"'timedelta(%s=%d)' % ('days', 2)"
how to add an integer to each element in a list?,"map(lambda x: x + 1, [1, 2, 3])"
count the number of true values associated with key 'success' in dictionary `d`,sum(1 if d['success'] else 0 for d in s)
reading formatted text using python,g.write('# comment\n')
how to handle javascript alerts in selenium using python,driver.switch_to_alert().accept()
how do i print the content of a .txt file in python?,print(file_contents)
index a list `l` with another list `idx`,T = [L[i] for i in Idx]
how to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*\\*+', '*', text)"
round number 8.005 up to 2 decimal places,"round(8.005, 2)"
how can i render 3d histograms in python?,plt.show()
find all words containing letters between a and z in string `formula`,"re.findall('\\b[A-Z]', formula)"
python + matplotlib: how can i change the bar's line width for a single bar?,plt.show()
how to print with inline if statement?,"print('Marked - %s\r\nUnmarked - %s' % (' '.join(marked), ' '.join(unmarked)))"
"printing correct time using timezones, python",print(aware.astimezone(Pacific).strftime('%a %b %d %X %z'))
sort the values of the dataframe `df` and align the columns accordingly based on the obtained indices after np.argsort.,"pd.DataFrame(df.columns[np.argsort(df.values)], df.index, np.unique(df.values))"
how do i find the duration of an event for a pandas time series,aapl.groupby((aapl.sign.diff() != 0).cumsum()).size()
how does numpy infers dtype for array,"np.array(12345678901234, dtype=np.int32)"
generate random decimal,decimal.Decimal(random.randrange(10000)) / 100
how to generate a continuous string?,"map(''.join, itertools.product(string.ascii_lowercase, repeat=3))"
how do i convert a unicode to a string at the python level?,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9')"
matplotlib chart - creating horizontal bar chart,plt.show()
sum of all values in a python dict `d`,sum(d.values())
change flask security register url to `/create_account`,app.config['SECURITY_REGISTER_URL'] = '/create_account'
python: find difference between two dictionaries containing lists,"{key: list(set.difference(set(a[key]), b.get(key, []))) for key in a}"
how to remove the space between subplots in matplotlib.pyplot?,ax.set_yticklabels([])
find dictionary keys with duplicate values,"[values for key, values in list(rev_multidict.items()) if len(values) > 1]"
pandas: transforming the dataframegroupby object to desired format,df = df.reset_index()
how can i add an additional row and column to an array?,"L = [[1, 2, 3], [4, 5, 6]]"
getting the row index for a 2d numpy array when multiple column values are known,np.where((a[0] == 2) & (a[1] == 5))
webbrowser open url `url`,webbrowser.open_new(url)
delete an element with key `key` dictionary `r`,del r[key]
"convert datetime object `(1970, 1, 1)` to seconds","(t - datetime.datetime(1970, 1, 1)).total_seconds()"
unicode values in strings are escaped when dumping to json in python,"print(json.dumps('r\xc5\xaf\xc5\xbee', ensure_ascii=False))"
take screenshot 'screen.png' on mac os x,os.system('screencapture screen.png')
regular expression: match string between two slashes if the string itself contains escaped slashes,pattern = re.compile('^(?:\\\\.|[^/\\\\])*/((?:\\\\.|[^/\\\\])*)/')
efficient way to convert a list to dictionary,"dict(map(lambda s: s.split(':'), ['A:1', 'B:2', 'C:3', 'D:4']))"
delete multiple dictionaries in a list,[i for i in Records if i['Price']]
how do i sort a list of strings in python?,list.sort()
"separate numbers from characters in string ""30m1000n20m""","re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')"
how to get an utc date string in python?,datetime.utcnow().strftime('%Y%m%d')
select multiple columns in pandas data frame with column index as sequential number,"df.iloc[:, (your_col_index)]"
reverse a list `array`,list(reversed(array))
removing white space from txt with python,"print(re.sub('(\\S)\\ {2,}(\\S)(\\n?)', '\\1|\\2\\3', s))"
separate numbers and characters in string '20m10000n80m',"re.findall('([0-9]+)([A-Z])', '20M10000N80M')"
replace each occurrence of the pattern '(http://\\s+|\\s*[^\\w\\s]\\s*)' within `a` with '',"re.sub('(http://\\S+|\\S*[^\\w\\s]\\S*)', '', a)"
how to return the regex that matches some text?,r = re.compile('(?P<int>^\\d+$)|(?P<word>^\\w+$)')
download a remote image and save it to a django model,request.FILES['imgfield']
execute a post request to url `http://httpbin.org/post` with json data `{'test': 'cheers'}`,"requests.post('http://httpbin.org/post', json={'test': 'cheers'})"
sorting a list by frequency of occurrence in a list,"a.sort(key=Counter(a).get, reverse=True)"
how to set different levels for different python log handlers,logging.basicConfig(level=logging.DEBUG)
filter lines from a text file 'textfile' which contain a word 'apple',[line for line in open('textfile') if 'apple' in line]
how to force os.system() to use bash instead of shell,"os.system('/bin/bash -c ""echo hello world""')"
extract lists within lists containing a string in python,[l for l in paragraph3]
"sort a list of tuples by second value, reverse=true and then by key, reverse=false","sorted(d, key=lambda x: (-x[1], x[0]))"
"getting a sublist of a python list, with the given indices?","[0, 2, 4, 5]"
scatterplot with xerr and yerr with matplotlib,plt.show()
redirect print to string list?,"['i = ', ' ', '0', '\n', 'i = ', ' ', '1', '\n']"
return a list of weekdays,weekdays('Wednesday')
fill in time data in pandas,"a.resample('15S', loffset='5S')"
what is the most efficient way to remove a group of indices from a list of numbers in python 2.7?,return [numbers[i] for i in range(len(numbers)) if i not in indices]
"convert js date object 'tue, 22 nov 2011 06:00:00 gmt' to python datetime","datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')"
extracting stderr from pexpect,child.expect('hi')
how to send an email with gmail as provider using python?,server.starttls()
__builtin__ module in python,print(dir(sys.modules['__builtin__']))
find all the values in attribute `value` for the tags whose `type` attribute is `submit` in selenium,"browser.find_elements_by_xpath(""//*[@type='submit']"").get_attribute('value')"
convert string `apple` from iso-8859-1/latin1 to utf-8,apple.decode('iso-8859-1').encode('utf8')
printing each item of a variable on a separate line in python,"print('\n'.join(map(str, ports)))"
rename `last` row index label in dataframe `df` to `a`,df = df.rename(index={last: 'a'})
python pil: how to write png image to string,"image.save(output, format='GIF')"
python - putting list items in a queue,"map(self.queryQ.put, self.getQueries())"
how to create python bytes object from long hex string?,s.decode('hex')
normalizing a list of numbers in python,norm = [(float(i) / sum(raw)) for i in raw]
how to split string into words that do not contain whitespaces in python?,"""""""This     is a     string"""""".split()"
how to unnest a nested list?,"from functools import reduce
reduce(lambda x, y: x + y, A, [])"
change one character in a string in python?,""""""""""""".join(s)"
calculate the md5 checksum of a file named  'filename.exe',"hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()"
how to find row of 2d array in 3d numpy array,"array([[True, True], [False, False], [False, False], [True, True]], dtype=bool)"
unique plot marker for each plot in matplotlib,plt.show()
flask: how to remove cookies?,"resp.set_cookie('sessionID', '', expires=0)"
regular expression matching all but a string,"res = re.findall('-(?!(?:aa|bb)-)([^-]+)(?=-)', s)"
python: how do i convert from binary to base 64 and back?,"print(struct.pack('I', val).encode('base64'))"
convert a list of characters into a string,"['a', 'b', 'c'].join('')"
"converting string '(1,2,3,4)' to a tuple","ast.literal_eval('(1,2,3,4)')"
create new columns in pandas from python nested lists,"df.A.apply(lambda x: pd.Series(1, x)).fillna(0).astype(int)"
how to get current import paths in python?,print(sys.path)
"match a sharp, followed by letters (including accent characters) in string `str1` using a regex","hashtags = re.findall('#(\\w+)', str1, re.UNICODE)"
accessing function arguments from decorator,MyClass().say('hello')
writing a list of sentences to a single column in csv with python,writer.writerow([item])
format current date to pattern '{%y-%m-%d %h:%m:%s}',time.strftime('{%Y-%m-%d %H:%M:%S}')
"if i have this string in python, how do i decode it?",urllib.parse.unquote(urllib.parse.unquote(s))
python . how to get rid of '\r' in string?,line.strip()
how to change the order of dataframe columns?,cols = list(df.columns.values)
pyqt - how to detect and close ui if it's already running?,sys.exit(app.exec_())
"how do i get a string format of the current date time, in python?","datetime.datetime.now().strftime('%I:%M%p on %B %d, %Y')"
how to save an image using django imagefield?,request.FILES['image']
understanding list comprehension for flattening list of lists in python,[item for sublist in (list_of_lists for item in sublist)]
terminate the script using status value 0,sys.exit(0)
parsing html data into python list for manipulation,"['13.46', '20.62', '26.69', '30.17', '32.81']"
removing set identifier when printing sets in python,"print(', '.join(words))"
smartest way to join two lists into a formatted string,"c = ', '.join('{}={}'.format(*t) for t in zip(a, b))"
how to use current logged in user as pk for django detailview?,return self.request.user
unpack the arguments out of list `params` to function `some_func`,some_func(*params)
how to write a multidimensional array to a text file?,"np.savetxt('test.txt', x)"
take screenshot in python on mac os x,os.system('screencapture screen.png')
python split string by pattern,repeat = re.compile('(?P<start>[a-z])(?P=start)*-?')
add unicode string '1' to utf-8 decoded string '\xc2\xa3',print('\xc2\xa3'.decode('utf8') + '1')
filtering pandas dataframes on dates,df.ix['2014-01-01':'2014-02-01']
find the count of a word 'hello' in a string `input_string`,input_string.count('Hello')
using multiple cursors in a nested loop in sqlite3 from python-2.7,curOuter.execute('SELECT id FROM myConnections')
sum a list of numbers in python,sum(i for i in a)
how to add title to subplots in matplotlib?,ax.set_title('Title for first plot')
finding the biggest key in a python dictionary,"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)[:2]"
convert a number to a list of integers,lst = [int(i) for i in str(num)]
what is a 'good practice' way to write a python gtk+ application?,gtk.main()
get the largest key in a dictionary `x` with non-zero value,"max(k for k, v in x.items() if v != 0)"
how to create a fix size list in python?,[None] * 10
convert `ms` milliseconds to a datetime object,datetime.datetime.fromtimestamp(ms / 1000.0)
how to filter list of dictionaries with matching values for a given key,return [dictio for dictio in dictlist if dictio[key] in valuelist]
scalar multiply matrix `a` by `b`,(a.T * b).T
how do i implement a null coalescing operator in sqlalchemy?,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all()
python equivalent of piping zcat result to filehandle in perl,"zcat = subprocess.Popen(['zcat', path], stdout=subprocess.PIPE)"
how to use matplotlib tight layout with figure?,ax.set_xlabel('X axis')
sort list with multiple criteria in python,"['0.0.0.0.py', '1.0.0.0.py', '1.1.0.0.py']"
get sql headers from numpy array in python,"[('a', '|O4'), ('b', '|O4'), ('c', '|O4')]"
how do i read the first line of a string?,my_string.splitlines()[0]
is there a way to use ribbon toolbars in tkinter?,"root.grid_rowconfigure(1, weight=1)"
create a dictionary by adding each two adjacent elements in tuple `x` as key/value pair to it,"dict(x[i:i + 2] for i in range(0, len(x), 2))"
how do i plot hatched bars using pandas?,"ax.legend(loc='center right', bbox_to_anchor=(1, 1), ncol=4)"
python: using a dictionary to count the items in a list,"Counter(['apple', 'red', 'apple', 'red', 'red', 'pear'])"
search for string `blabla` in txt file 'example.txt',"datafile = file('example.txt')
found = False
for line in datafile:
    if (blabla in line):
        return True
return False"
average of tuples,sum(v[0] for v in list(d.values())) / float(len(d))
printing a list using python,"print('[', ', '.join(repr(i) for i in list), ']')"
replace all characters in a string with asterisks,word = '*' * len(name)
check if key 'key1' in `dict`,('key1' in dict)
create 3 by 3 matrix of random numbers,"numpy.random.random((3, 3))"
how to convert numpy datetime64 into datetime,datetime.datetime.fromtimestamp(x.astype('O') / 1000000000.0)
filter common sub-dictionary keys in a dictionary,set.intersection(*(set(x) for x in d.values()))
how do i make a django modelform menu item selected by default?,form = MyModelForm(instance=someinst)
immediately see output of print statement that doesn't end in a newline,sys.stdout.flush()
"get  value at index `[2, 0]` in dataframe `df`","df.iloc[2, 0]"
matching and combining multiple 2d lists in python,"[['00f7e0b88577106a', '2', 'hdisk37']]"
python load json file with utf-8 bom header,"json.load(codecs.open('sample.json', 'r', 'utf-8-sig'))"
get value of the environment variable 'home' with default value '/home/username/',"print(os.environ.get('HOME', '/home/username/'))"
how to replace the first occurrence of a regular expression in python?,"re.sub('foo', 'bar', s, 1)"
additional empty elements when splitting a string with re.split,"re.findall('\\w+="".*?""', comp)"
get reverse of list items from list 'b' using extended slicing,[x[::-1] for x in b]
merge 2 dataframes with same values in a column,df2.CET.map(df1.set_index('date')['revenue'])
how to create a dictionary with certain specific behaviour of values,"{'A': 4, 'B': 1, 'C': 1}"
how to search a list of tuples in python,[x[0] for x in a]
get the number of nan values in each column of dataframe `df`,df.isnull().sum()
designing a recursive function that uses digit_sum to calculate sum of digits,"return sum(map(int, str(n)))"
sorting a defaultdict by value in python,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
